task,country,lga,burden,burden_raw_uncalibrated,ci_lo,ci_hi,population
pw,Nigeria,Maru,358892.14489804563,364203.4914057673,314620.0201506547,403921.8577589162,429148.851414
pw,Nigeria,ZangonKataf,357355.066435098,359719.5031138716,311666.7548885376,413440.73947148793,467445.253007
pw,Nigeria,Ifo,353130.61113908375,350283.07847339386,270237.8498413114,445423.3268930084,798394.852863
pw,Nigeria,Giwa,351856.4908618778,357382.54881566856,307719.6511129188,399596.2592484308,433506.016618
pw,Nigeria,Chikun,344024.31253352936,348056.10223577265,282298.01476846903,416142.8670352118,527816.287836
pw,Nigeria,Ajeromi/Ifelodun,341580.84192718484,336831.5405416511,305273.4034863097,370010.1707878792,787152.093061
pw,Nigeria,Ganjuwa,335612.2220440481,339327.3964068427,298376.0696682277,373748.1599032837,413073.692205
pw,Nigeria,Alkaleri,335548.72355809185,332687.3261152554,280287.6021544599,398204.2089414519,479251.89783
pw,Nigeria,BirninKudu,335133.6505613092,338575.39540354273,294718.36641243484,379391.29991351365,445183.058069
pw,Nigeria,Mangu,333987.2195028272,336552.39650855726,299412.2279196413,373700.0982833874,436193.623488
pw,Nigeria,Ikorodu,331341.22061911324,333987.53987896955,279144.00530960876,382847.042619687,806471.896434
pw,Nigeria,Zurmi,329567.12852528127,334053.42446399713,269657.42723551736,397763.62015728373,455669.761567
pw,Nigeria,Zaria,324896.40596945654,314503.1801487807,223725.94184847013,439764.42762939556,585204.666834
pw,Nigeria,Kubau,320920.2596463887,323299.1041038101,272665.3619122077,374957.0865524359,408205.458802
pw,Nigeria,PortHarcourt,319179.1438071201,321074.4688986808,196029.35609280955,448482.8589776053,750104.323748
pw,Nigeria,Yenagoa,319046.3806954909,311257.11271867924,223436.13269330907,434208.3232358552,546766.373963
pw,Nigeria,Gusau,318589.13711468905,318349.00760520156,245681.48069414814,392014.48343660706,541558.756387
pw,Nigeria,Soba,316282.28030287777,321597.46865443885,281509.71835967276,358548.063668594,405530.426387
pw,Nigeria,Bichi,315499.6950996774,320046.94649714016,277172.0834867249,359644.7873046981,417932.505535
pw,Nigeria,AmuwoOdofin,315324.842938457,313054.51030721125,158120.96796140177,498118.9694584661,747721.481207
pw,Nigeria,Gamawa,314332.17363604,316979.6391276395,277281.72577497276,359017.9141333226,422868.34116199997
pw,Nigeria,DankoWasagu,314225.8857075531,319215.465464451,270959.144809881,355429.81543777854,386069.964091
pw,Nigeria,BirninGwari,312647.15772117756,320210.5058134207,265235.44462706463,368135.3047282079,370565.432424
pw,Nigeria,KauraNamoda,307048.84443399525,308249.5904200858,255269.30670056515,354814.0950419161,417491.508069
pw,Nigeria,Kumbotso,305342.59214599425,294045.96754928626,230539.05322823362,391104.6813933373,505766.793043
